,Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
405,Foreman,Mr Benjamin Laventall,30,Southampton,†
406,Fortune,Miss Alice Elizabeth,24,Southampton,S
407,Fortune,Miss Ethel Flora,28,Southampton,S
408,Fortune,Miss Mabel Helen,23,Southampton,S
409,Fortune,Mr Charles Alexander,19,Southampton,†
410,Fortune,Mr Mark,64,Southampton,†
411,Fortune,Mrs Mary,60,Southampton,S
412,Fox,Mr Patrick,28,Queenstown,†
413,Fox,Mr Stanley Harrington,38,Southampton,†
414,Francatelli,Miss Laura Mabel (Secretary to Lady Duff-Gordon),31,Cherbourg,S
415,Franklin,Mr Thomas Parnham,37,Southampton,†
416,Frauenthal,Dr Henry William,49,Southampton,S
417,Frauenthal,Mr Isaac Gerald,43,Cherbourg,S
418,Frauenthal,Mrs Clara,42,Southampton,S
419,Frost,Mr Anthony Wood,38,Belfast,†
420,Fry,Mr Richard (Valet to Mr Joseph Bruce Ismay),39,Southampton,†
421,Frölicher,Miss Hedwig Margaritha,22,Cherbourg,S
422,Frölicher-Stehli,Mr Maximilian Josef,60,Cherbourg,S
423,Frölicher-Stehli,Mrs Margaretha Emerentia,48,Cherbourg,S
424,Funk,Miss Annie Clemmer,38,Southampton,†
425,Futrelle,Mr Jacques Heath,37,Southampton,†
426,Futrelle,Mrs Lily May,35,Southampton,S
427,Fynney,Mr Joseph J.,35,Southampton,†
428,Gale,Mr Harry,38,Southampton,†
429,Gale,Mr Shadrach,33,Southampton,†
430,Gallagher,Mr Martin,29,Queenstown,†
431,Garfirth,Mr John,21,Southampton,†
432,Garside,Miss Ethel,39,Southampton,S
433,Gaskell,Mr William Alfred,19,Southampton,†
434,Gavey,Mr Laurence,26,Southampton,†
435,Gee,Mr Arthur H.,47,Southampton,†
436,George/Joseph,Mrs Shawneene,38,Cherbourg,S
437,Gerios Thamah,Mr Assaf,21,Cherbourg,†
438,Gheorgheff,Mr Stanio,NK,Cherbourg,†
439,Gibson,Miss Dorothy Winifred,22,Cherbourg,S
440,Gibson,Mrs Pauline Caroline,44,Cherbourg,S
441,Gieger,Miss Amalie (Maid to Mrs George Dunton Widener),35,Southampton,S
442,Giglio,Mr Victor Gaitan Andrea (Valet to Mr Benjamin Guggenheim),23,Cherbourg,†
443,Gilbert,Mr William,47,Southampton,†
444,Giles,Mr Edgar,21,Southampton,†
445,Giles,Mr Frederick Edward,20,Southampton,†
446,Giles,Mr Ralph,24,Southampton,†
447,Gilinski,Mr Eliezer,22,Southampton,†
448,Gill,Mr John,24,Southampton,†
449,Gillespie,Mr William Henry,31,Southampton,†
450,Gilnagh,Miss Katherine,17,Queenstown,S
451,Givard,Mr Hans Kristensen,30,Southampton,†
452,Glynn,Miss Mary Agatha,19,Queenstown,S
453,Goldenberg,Mr Samuel L.,47,Cherbourg,S
454,Goldenberg,Mrs Nella,40,Cherbourg,S
455,Goldschmidt,Mr George B.,71,Cherbourg,†
456,Goldsmith,Master Frank John William,9,Southampton,S
457,Goldsmith,Mr Frank John,33,Southampton,†
458,Goldsmith,Mr Nathan,41,Southampton,†
459,Goldsmith,Mrs Emily Alice,31,Southampton,S
460,Goodwin,Master Harold Victor,9,Southampton,†
461,Goodwin,Master Sidney Leslie,1,Southampton,†
462,Goodwin,Master William Frederick,11,Southampton,†
463,Goodwin,Miss Jessie Allis,10,Southampton,†
464,Goodwin,Miss Lillian Amy,16,Southampton,†
465,Goodwin,Mr Charles Edward,14,Southampton,†
466,Goodwin,Mr Frederick Joseph,42,Southampton,†
467,Goodwin,Mrs Augusta,43,Southampton,†
468,Gracie,Colonel Archibald,53,Southampton,S
469,Graham,Miss Margaret Edith,19,Southampton,S
470,Graham,Mr George Edward,38,Southampton,†
471,Graham,Mrs Edith,59,Southampton,S
472,Green,Mr George,40,Southampton,†
473,Greenberg,Mr Samuel,52,Southampton,†
474,Greenfield,Mr William Bertram,23,Cherbourg,S
475,Greenfield,Mrs Blanche,45,Cherbourg,S
476,Grønnestad,Mr Daniel Danielsen,32,Southampton,†
477,Guest,Mr Robert,23,Southampton,†
478,Guggenheim,Mr Benjamin,46,Cherbourg,†
479,Gustafsson,Mr Alfred Ossian,19,Southampton,†
480,Gustafsson,Mr Anders Vilhelm,37,Southampton,†
481,Gustafsson,Mr Johan Birger,28,Southampton,†
482,Gustafsson,Mr Karl Gideon,19,Southampton,†
483,Haas,Miss Aloisia,24,Southampton,†
484,Hagland,Mr Ingvald Olai Olsen,28,Southampton,†
